id,id_swiped,action
4599928,17050058,
4599928,55041195,
4599928,185997874,
4599928,4599928,right
4599928,39883490,left
4599928,71959562,left
4599928,47408710,left
4599928,102682953,left
4599928,159212128,left
4599928,419385106,left
4599928,133773581,left
4599928,112189248,right
4599928,313047603,left
4599928,276414665,right
4599928,4599928,right
4599928,193465572,left
4599928,164236444,left
4599928,401293461,right
4599928,90248259,right
4599928,180470609,left
4599928,224814867,left
4599928,13907871,left
4599928,559085166,left
4599928,134721862,left
4599928,19006286,left
4599928,4599928,right
4599928,9556548,left
4599928,50960678,left
4599928,202889329,left
4599928,264484600,left
4599928,134846405,left
4599928,98442862,left
4599928,172876360,left
4599928,60812704,left
4599928,54084369,left
4599928,49882917,right
4599928,99599568,left
4599928,253430120,left
4599928,81093906,right
4599928,59181529,left
4599928,77462309,left
4599928,105744724,left
4599928,4599928,right
4599928,353835640,left
4599928,55878962,left
4599928,295955507,right
4599928,417849142,right
4599928,246707497,right
4599928,60133549,left
4599928,4599928,left
4599928,45444131,right
4599928,59159016,left
4599928,165511706,left
4599928,101462744,left
4599928,91905791,left
4599928,13367613,right
4599928,154643030,left
4599928,36114258,right
4599928,18369734,left
4599928,175693690,right
4599928,429915086,left
4599928,416836449,left
4599928,61163882,left
4599928,43112052,right
4599928,218094077,left
4599928,10903110,left
4599928,31938980,left
4599928,138588902,left
4599928,151967967,left
4599928,169948867,left
4599928,18729647,left
4599928,4599928,right
4599928,4599928,right
4599928,4599928,right
4599928,4599928,right
4599928,242865838,left
4599928,50216884,right
4599928,147635705,left
4599928,48162974,left
4599928,446238392,right
4599928,120062243,right
4599928,20216799,left
4599928,20216799,left
4599928,4599928,left
4599928,96876950,right
4599928,403420714,left
4599928,95005220,right
4599928,111668413,left
4599928,74828985,left
4599928,52122565,left
4599928,39272561,right
4599928,70299148,left
4599928,19048029,left
4599928,146843377,left
4599928,426937669,left
4599928,4599928,left
4599928,155462461,left
4599928,222850154,right
4599928,146831524,right
4599928,93239528,left
4599928,91935469,right
4599928,135138924,left
4599928,20555845,left
4599928,188462695,right
4599928,105882683,left
4599928,119971047,left
4599928,18774990,left
4599928,293759223,left
4599928,4599928,right
4599928,151181518,right
4599928,21703302,left
4599928,217814829,left
4599928,100653627,right
4599928,138159385,left
4599928,20089672,left
4599928,111141867,left
4599928,94982346,left
4599928,27253754,right
4599928,144746300,left
4599928,64003479,left
4599928,63114267,left
4599928,182241949,left
4599928,74224168,left
4599928,143644705,left
4599928,138968909,left
4599928,277542564,left
4599928,45348708,right
4599928,381603139,left
4599928,95741448,left
4599928,190876868,left
4599928,117654917,left
4599928,154356014,right
4599928,135820541,left
4599928,466392905,left
4599928,8970151,right
4599928,22285577,left
4599928,39801085,left
4599928,228894487,left
4599928,22159334,left
4599928,49634674,left
4599928,367244648,left
4599928,30312256,left
4599928,183097641,left
4599928,347218636,right
4599928,408935611,right
4599928,138675028,right
4599928,70399461,left
4599928,309516029,left
4599928,231493933,left
4599928,31151835,right
4599928,24430858,right
4599928,78407577,right
4599928,176131169,left
4599928,160466912,left
4599928,601513767,right
4599928,440833563,left
4599928,67622289,left
4599928,54139966,right
4599928,168495921,left
4599928,139892111,left
4599928,13719970,left
4599928,180102549,left
4599928,63409106,left
4599928,514223995,left
4599928,47521249,left
4599928,219790578,right
4599928,150260613,left
4599928,151961500,left
4599928,25934525,left
4599928,34642097,left
4599928,26292231,left
4599928,49733981,left
4599928,140787532,left
4599928,326525024,left
4599928,17570098,right
4599928,61577342,left
4599928,320914426,left
4599928,164239801,right
4599928,162477943,left
4599928,50932448,left
4599928,152140107,left
4599928,138836737,right
4599928,177040979,left
4599928,168423391,left
4599928,58497511,left
4599928,112596123,right
4599928,115732530,left
4599928,19094112,left
4599928,185505060,left
4599928,11818722,left
4599928,12817550,left
4599928,23347159,left
4599928,73098187,right
4599928,135888714,left
4599928,401685114,right
4599928,175858237,left
4599928,11692496,left
4599928,121117228,left
4599928,267091330,left
4599928,35043400,left
4599928,524538244,right
4599928,92876091,left
4599928,219785091,left
4599928,123429977,left
4599928,33398304,left
4599928,20211999,left
4599928,5186545,left
4599928,112950997,right
4599928,84795924,left
4599928,142868547,left
4599928,21905302,left
4599928,156626668,left
4599928,157924900,right
4599928,69619917,left
4599928,48300401,left
4599928,15571921,left
